work_id,dataset_id,market,trade_date,phase,source_family,schema_family,work_unit,current_gap_download_eligible,evidence_basis,evidence_confidence,calendar_provenance,calendar_confidence,old_manifest_status,old_manifest_rows,old_manifest_sha256_uncompressed,old_manifest_path,raw_cloud_status,action,scope_revision,scope_membership_basis
RAW-W01,TWSE_DAILY_K,TWSE,2026-08-19,HISTORICAL,TWSE_MI_INDEX,TWSE_MI_INDEX_ALLBUT0999,TWSE×TRADE_DATE,True,SMOKE_TEST_AND_STAGING_GAP_RECONCILIATION,high,TRADING_CALENDAR_AND_EXISTING_STAGING_EVIDENCE,high,,,,,MISSING,DOWNLOAD_OFFICIAL_RAW_TARGETED_GAP,RAW_GAP7_20260918,KNOWN_MISSING_FORMAL_RAW
RAW-W01,TWSE_DAILY_K,TWSE,2026-08-20,HISTORICAL,TWSE_MI_INDEX,TWSE_MI_INDEX_ALLBUT0999,TWSE×TRADE_DATE,True,SMOKE_TEST_AND_STAGING_GAP_RECONCILIATION,high,TRADING_CALENDAR_AND_EXISTING_STAGING_EVIDENCE,high,,,,,MISSING,DOWNLOAD_OFFICIAL_RAW_TARGETED_GAP,RAW_GAP7_20260918,KNOWN_MISSING_FORMAL_RAW
RAW-W01,TWSE_DAILY_K,TWSE,2026-08-24,HISTORICAL,TWSE_MI_INDEX,TWSE_MI_INDEX_ALLBUT0999,TWSE×TRADE_DATE,True,SMOKE_TEST_AND_STAGING_GAP_RECONCILIATION,high,TRADING_CALENDAR_AND_EXISTING_STAGING_EVIDENCE,high,,,,,MISSING,DOWNLOAD_OFFICIAL_RAW_TARGETED_GAP,RAW_GAP7_20260918,KNOWN_MISSING_FORMAL_RAW
RAW-W01,TWSE_DAILY_K,TWSE,2026-08-27,HISTORICAL,TWSE_MI_INDEX,TWSE_MI_INDEX_ALLBUT0999,TWSE×TRADE_DATE,True,SMOKE_TEST_AND_STAGING_GAP_RECONCILIATION,high,TRADING_CALENDAR_AND_EXISTING_STAGING_EVIDENCE,high,,,,,MISSING,DOWNLOAD_OFFICIAL_RAW_TARGETED_GAP,RAW_GAP7_20260918,KNOWN_MISSING_FORMAL_RAW
RAW-W01,TWSE_DAILY_K,TWSE,2026-08-28,HISTORICAL,TWSE_MI_INDEX,TWSE_MI_INDEX_ALLBUT0999,TWSE×TRADE_DATE,True,SMOKE_TEST_AND_STAGING_GAP_RECONCILIATION,high,TRADING_CALENDAR_AND_EXISTING_STAGING_EVIDENCE,high,,,,,MISSING,DOWNLOAD_OFFICIAL_RAW_TARGETED_GAP,RAW_GAP7_20260918,KNOWN_MISSING_FORMAL_RAW
RAW-W01,TWSE_DAILY_K,TWSE,2026-09-02,HISTORICAL,TWSE_MI_INDEX,TWSE_MI_INDEX_ALLBUT0999,TWSE×TRADE_DATE,True,SMOKE_TEST_AND_STAGING_GAP_RECONCILIATION,high,TRADING_CALENDAR_AND_EXISTING_STAGING_EVIDENCE,high,,,,,MISSING,DOWNLOAD_OFFICIAL_RAW_TARGETED_GAP,RAW_GAP7_20260918,KNOWN_MISSING_FORMAL_RAW
RAW-W01,TWSE_DAILY_K,TWSE,2026-09-03,HISTORICAL,TWSE_MI_INDEX,TWSE_MI_INDEX_ALLBUT0999,TWSE×TRADE_DATE,True,SMOKE_TEST_AND_STAGING_GAP_RECONCILIATION,high,TRADING_CALENDAR_AND_EXISTING_STAGING_EVIDENCE,high,,,,,MISSING,DOWNLOAD_OFFICIAL_RAW_TARGETED_GAP,RAW_GAP7_20260918,KNOWN_MISSING_FORMAL_RAW
